GeneSymbol,GeneID,GeneLength
UBE3C,9690,8285
ELOVL5,60481,5048
GOT1,2805,2524
HNRNPUL2,221092,4596
MAPK8IP2,23542,3458
NCRNA00161,118421,869
C15orf42,90381,8293
DEFB4A,1673,335
CDK17,5128,4423
PLAC2,257000,3691
ATP5O,539,1394
MESDC1,59274,3050
METTL9,51108,3194
RAB28,9364,1884
CDK5R2,8941,2479
OR52B6,340980,1006
HIST1H4F,8361,368
EME2,197342,1436
OR11L1,391189,969
LOC643719,643719,601
SDHAF2,54949,1207
KHDC1,80759,2742
SFRS12,140890,6158
XPO4,64328,10039
C1orf187,374946,1773
KCNC1,3746,8649
CRLS1,54675,4674
ZNF878,729747,1737
C15orf40,123207,2646
C1QTNF2,114898,2385
CDKN3,1033,889
LOC100130093,100130093,2375
ZNF71,58491,3125
OTUD7A,161725,6527
TAS2R5,54429,1150
CNNM4,26504,5196
HORMAD1,84072,1879
DECR2,26063,1995
ACAT2,39,1850
OR5R1,219479,973
NDUFS2,4720,2647
CYP27A1,1593,2292
VCAM1,7412,3100
GAS2L2,246176,3007
ADIPOR1,51094,2307
VIL1,7429,3085
HNRNPM,4670,3918
KIFAP3,22920,3238
BLVRA,644,1170
FAM123A,219287,3440
SLC6A18,348932,2120
ARHGEF6,9459,5705
NCR2,9436,1084
BDNFOS,497258,3392
GLYCTK,132158,3797
ZNF790,388536,3032
C9orf144B,259308,4296
EPS15L1,58513,5886
HTR1A,3350,1268
ZNF480,147657,4739
BMP6,654,3104
SLC24A1,9187,8507
CSMD1,64478,14469
GPNMB,10457,3743
MRPS36,92259,1567
TOP3A,7156,4326
PMS2,5395,5150
ELAVL4,1996,2905
ZC3HAV1L,92092,1753
AURKA,6790,2547
TMEM189,387521,2516
FLJ10038,55056,5940
FAM175B,23172,2990
DUSP8,1850,4473
DNALI1,7802,2648
TBCEL,219899,4357
NPR2,4882,3429
GDEP,118425,2089
PDE4C,5143,7562
C3orf36,80111,1667
NDUFA9,4704,1581
TBX22,50945,2380
TBC1D10B,26000,3889
ODF2L,57489,5759
TRIM61,391712,1578
HOXC9,3225,1580
DHRS7B,25979,1939
OR10R2,343406,1007
TMEM99,147184,2065
GPR123,84435,6409
CLPB,81570,3361
TPH1,7166,1815
LPAR3,23566,1742
FASTKD1,79675,3002
ALOX5AP,241,1237
FST,10468,1365
ATP11B,23200,8334
SH2D7,646892,1892
SENP1,29843,5342
SCN7A,6332,6061
ITFG1,81533,3070
GNG4,2786,5310
TSPYL6,388951,3095
ZFYVE28,57732,6491
C9orf4,23732,1189
PEX5L,51555,3848
TOMM5,401505,3634
NUP155,9631,4475
GALK1,2584,1802
CFLAR,8837,7405
DHX33,56919,4311
CLEC9A,283420,1672
SPHAR,10638,1120
TBC1D2B,23102,7418
LACE1,246269,2253
SLC25A16,8034,2724
MAP4K1,11184,2930
RNASEH2B,79621,2077
UNC5CL,222643,3543
ZNF384,171017,3968
ADAMTS18,170692,6066
JAK1,3716,10511
PHF21B,112885,3959
SMYD2,56950,4639
LCN1,3933,779
RDH14,57665,1598
TMED1,11018,1355
ITGB6,3694,5264
SEC31A,22872,6136
MARCH10,162333,4174
SRL,6345,5590
MED10,84246,1027
SNORA75,654321,137
IL32,9235,2481
FLG,2312,12747
UST,10090,4390
LETM1,3954,7264
P2RX5,5026,7164
C17orf39,79018,4232
OR5H1,26341,940
NOSTRIN,115677,3549
CCL1,6346,542
RMND1,55005,2280
HN1,51155,1727
CNO,55330,1546
C19orf76,199800,2112
KCND1,3750,6000
PLXNC1,10154,5621
GPR112,139378,10072
ZNF662,389114,6529
C19orf22,91300,1809
LOC286467,286467,3178
LOC442459,442459,2174
TMPRSS11BNL,401136,3202
SLC23A1,9963,2355
ZBTB37,84614,2546
MGC16142,84849,1289
OR10K2,391107,937
RAB41,347517,1026
CREBL2,1389,3755
NFYA,4800,6588
MAFK,7975,4320
MKKS,8195,2773
EHMT2,10919,5686
POLDIP3,84271,3485
VPS41,27072,4987
FAM163A,148753,3432
PHOX2A,401,1698
FILIP1,27145,6080
SNRPD1,6632,1600
BAIAP2,10458,6094
RELA,5970,3365
PPP4R2,151987,1462
NCRNA00235,64493,561
C3orf74,100128378,3019
FAM9A,171482,1516
MTR,4548,10614
MAP7D2,256714,3856
ZNF169,169841,6331
HLA-DQB2,3120,2046
CCNA2,890,2797
LOC391322,391322,563
PCBP3,54039,4002
UMPS,7372,2959
DCBLD1,285761,3867
FLT4,2324,6723
HFE,3077,2255
DDX39,10212,1606
ABCG8,64241,2664
C14orf70,283601,1627
TM4SF19,116211,1927
SNORD34,26817,66
OR13C4,138804,955
POLR2F,5435,4122
TBC1D17,79735,2832
MRPL45,84311,1695
PIK3CA,5290,3707
CLEC3B,7123,917
FAM120C,54954,8439
MED21,9412,1753
OR4D9,390199,943
BBOX1,8424,1901
FNDC4,64838,1670
OR1E1,8387,945
VCAN,1462,14350
PAIP2B,400961,6300
TRIM52,84851,2226
TAS1R3,83756,2558
C10orf120,399814,1062
DIRAS2,54769,4107
ZNF193,7746,1793
C11orf80,79703,2333
MEN1,4221,3636
RBM22,55696,2345
ZNF643,65243,2343
LPA,4018,6488
ANKRD26P1,124149,6249
TBCB,1155,1733
CCDC28B,79140,1450
KRT31,3881,1634
ASB13,79754,2812
NDUFB3,4709,753
HSPB1,3315,1044
SLC16A13,201232,1747
PPP2R1B,5519,6095
PSME1,5720,1169
CD34,947,3589
C3orf38,285237,2628
LOC729603,729603,3131
ENPP3,5169,4158
ATP6V1A,523,4599
DDX20,11218,5256
TOP1MT,116447,2854
SNORD15A,6079,148
PACSIN3,29763,2073
TMEM64,169200,5344
PAOX,196743,1942
SNORD116-28,100033820,8993
C3orf39,84892,2574
SPRR2B,6701,656
CXCR7,57007,3996
GYPC,2995,4293
MAF1,84232,1775
IMP5,162540,2054
MME,4311,6233
SMG5,23381,4561
RASEF,158158,3783
HBXIP,10542,846
NPAT,4863,7150
SAPS1,22870,3899
IMP4,92856,1049
TNFRSF17,608,1117
RASSF9,9182,1796
BAK1,578,2720
SSX2IP,117178,6705
IER3,8870,1239
ASB7,140460,5127
SOCS4,122809,7010
MS4A10,341116,2296
TMED7-TICAM2,100302736,3620
EXOSC6,118460,1700
CD81,975,2072
MUC7,4589,2773
DDX31,64794,4064
BCL7C,9274,1954
MYLIP,29116,3069
MANF,7873,927
SNORA62,6044,153
ZMYND19,116225,1370
PREP,5550,2848
ADIPOR2,79602,3986
HSPA7,3311,2493
KCNN4,3783,2386
RPL17,6139,944
PAQR4,124222,2803
TYMS,7298,1583
ZFYVE21,79038,2625
ASH1L,55870,11804
SLC25A40,55972,1512
COG4,25839,3594
ZNF468,90333,4030
PLEKHG7,440107,3267
ARL5B,221079,3589
STON1,11037,6004
GKN2,200504,1652
PRG3,10394,868
LCE3E,353145,610
WNK2,65268,8549
ST7OT3,93655,1024
GAS2,2620,2603
WDR52,55779,9388
C20orf11,54994,4425
SNORA5B,677795,131
TIMM44,10469,1940
SNX2,6643,2514
LRRC33,375387,2462
PPM1D,8493,3274
ZNF254,9534,4391
FITM1,161247,1003
ARHGAP23,57636,6298
APLF,200558,5127
PRKD2,25865,4164
LRRN4CL,221091,2412
DCAF4L2,138009,3324
SNORD60,26788,83
DCAF10,79269,8006
SIAH3,283514,3992
C14orf148,122945,1846
DNPEP,23549,3833
KIAA1958,158405,2767
KIAA0528,9847,5135
LOC402644,402644,477
ZNF784,147808,2033
AFAP1L1,134265,4561
PKMYT1,9088,2802
TMCO7,79613,5574
ROM1,6094,1876
C2orf27A,29798,1219
VNN3,55350,2688
GRIA4,2893,10054
PLN,5350,1713
GJB1,2705,1733
KCNG3,170850,3822
CNTNAP3,79937,7079
MGC23270,196872,2518
TSPAN15,23555,1699
JUP,3728,4685
LLGL2,3993,4251
PHF14,9678,6241
SIRT3,23410,4086
PSMB8,5696,2546
PCSK4,54760,2994
SPPL2A,84888,2001
RARRES3,5920,764
TOP1,7150,4798
KBTBD10,10324,3446
ING5,84289,7062
ZNF773,374928,4711
BTBD7,55727,11197
C6orf25,80739,869
EGLN3,112399,3776
CA1,759,1392
TOP1P2,7152,1517
ZNF841,284371,3876
RWDD2B,10069,1888
PRR22,163154,1806
OGT,8473,7356
TWF2,11344,1624
NRG1,3084,7782
ITGA2,3673,7909
SLC1A2,6506,12226
PSMA4,5685,3092
LOC647979,647979,5341
LOC115110,115110,5051
C9orf82,79886,2867
RBM45,129831,1782
C6orf155,79940,2933
FAM175A,84142,3573
C8orf46,254778,3564
MORC1,27136,3765
CD207,50489,1867
AP4S1,11154,2429
TPD52L2,7165,2409
ACVR1C,130399,9076
TSPAN18,90139,4142
EFNA3,1944,2056
RINT1,60561,2976
RRP7A,27341,1979
BIRC8,112401,2020
CSGALNACT1,55790,8542
L3MBTL3,84456,4199
TUBAL3,79861,1797
UMOD,7369,2413
MBOAT4,619373,1662
TTLL4,9654,5317
TOPBP1,11073,5425
CLASP2,23122,9001
SCARF1,8578,3443
LOC390595,390595,1691
MRPL42,28977,2126
KCNH3,23416,3853
FBN3,84467,8962
NEXN,91624,3627
LGALS2,3957,527
C14orf139,79686,2822
H3F3A,3020,1839
SDK1,221935,10654
AFF1,4299,10139
TAS2R14,50840,953
ATP6V1G2,534,1591
BIK,638,949
IRX6,79190,2599
CSNK2B,1460,3515
SC4MOL,6307,2400
C21orf121,150142,2948
CYR61,3491,2304
PKHD1,5314,17844
BTAF1,9044,7265
RNF215,200312,2045
STON1-GTF2A1L,286749,3828
LPHN1,22859,7855
ARHGEF10,9639,9914
TUBGCP2,10844,5307
SCAF1,58506,4312
ITPKA,3706,1771
GNL3L,54552,6943
YTHDF2,51441,3569
CPNE7,27132,2656
MGST3,4259,701
TARBP2,6895,2741
SLC6A1,6529,4493
EIF2C1,26523,7696
FOXO1,2308,5945
CACNA2D1,781,4174
TCF3,6929,4928
ALDH4A1,8659,3579
PBX2,5089,3480
MAEA,10296,3844
RPRD1A,55197,4412
VPS33B,26276,2639
ANKRD16,54522,4227
C12orf26,84190,1971
HSD3B2,3284,5918
SARS,6301,2099
SIGLECP3,284367,2273
SNORD116-19,727708,93
GALNT7,51809,4489
MTHFD1,4522,3631
MTMR1,8776,5084
SH3RF2,153769,6508
C4orf44,345222,1897
TIAM1,7074,8084
SNRPD2,6633,867
ASB9,140462,2049
C5orf62,85027,1974
SLC47A1,55244,3458
C6orf126,389383,488
ProSAPiP1,9762,5339
MAFB,9935,3358
C1orf126,200197,7099
RUFY3,22902,7587
TNFRSF6B,8771,1546
AP2A1,160,5700
TDRD7,23424,4044
STX4,6810,1888
CLEC4D,338339,1932
RPL13AP6,644511,653
AP1S1,1174,1296
OVGP1,5016,3148
LOC652276,652276,5775
WDR6,11180,4525
CISD1,55847,2212
TGFBRAP1,9392,2969
MLH3,27030,8046
NXF2B,728343,4994
WNT10B,7480,2270
SSNA1,8636,941
DEFB115,245929,267
EXOG,9941,3628
GCA,25801,3359
ZNF525,170958,6169
C17orf42,79736,2200
GML,2765,722
PCDHAC1,56135,5950
PHF12,57649,8386
S100A8,6279,407
LOC401052,401052,1897
ID4,3400,2343
LOC257358,257358,2204
TIMM17B,10245,1098
TUBA4A,7277,1992
KLK11,11012,2334
CHST1,8534,2718
UCK2,7371,1244
ANTXR2,118429,8270
TRMU,55687,2415
WDR73,84942,2199
NBPF7,343505,1886
ADAMTS12,81792,5160
LOR,4014,1227
GRIN3A,116443,10012
CCRL2,9034,1865
PPFIBP1,8496,8110
DDX41,51428,2920
SATB1,6304,5715
PKIA,5569,2236
ZNF630,57232,3502
DGCR6,8214,1661
EP400NL,347918,3320
ARHGDIB,397,1302
FAM55C,91775,9051
RRN3,54700,3862
TPST2,8459,2251
PGLYRP2,114770,2224
IFNGR1,3459,2340
PALB2,79728,4058
FHOD3,80206,7390
THOC5,8563,2876
XK,7504,5084
GHR,2690,4359
TARS,6897,3164
CNNM1,26507,6570
SLC43A1,8501,2602
CELF2,10659,11012
NES,10763,5556
ZNF474,133923,1948
SPP2,6694,1019
C16orf90,646174,903
TBR1,10716,3379
SEC22A,26984,4291
PPP5C,5536,3269
CDADC1,81602,3601
UPB1,51733,3763
LOC613037,613037,3491
DAOA,267012,1575
OSBP2,23762,5739
ZNF566,84924,5287
CHRDL2,25884,2210
GYPA,2993,3038
KCNAB3,9196,2789
ZBTB22,9278,2728
ORC5L,5001,3249
HIST1H2BE,8344,434
B3GALT4,8705,1686
KIAA2026,158358,7202
C7orf69,80099,2901
ADAMTSL2,9719,5790
CPN1,1369,1756
CHN2,1124,4561
C1orf151,440574,2668
ADCK1,57143,3595
CCDC59,29080,1610
RNASEK,440400,748
HRH1,3269,4817
TNFRSF12A,51330,1030
TSHB,7252,578
PITPNM1,9600,5528
ZNF787,126208,3414
SRP9,6726,3351
ERICH1,157697,6236
C7orf23,79161,1041
MAGEA2,4101,2290
PTGFR,5737,5430
PNRC1,10957,3032
SPRED1,161742,7254
ZMYND8,23613,7649
GIMAP1,170575,1362
LHX8,431707,2448
TBKBP1,9755,4132
CEP350,9857,14011
CRKL,1399,5325
GJB2,2706,2330
SNORD44,26806,61
PCDHA13,56136,5291
RXRB,6257,3679
C7orf34,135927,768
RTBDN,83546,2176
CLEC1B,51266,968
USP19,10869,5194
BDH2,56898,3700
DCAF12L1,139170,3388
POU6F1,5463,5408
THNSL2,55258,4068
YWHAZ,7534,5168
DNAJA3,9093,2708
CCT6A,908,2664
MRPL35,51318,3310
ULK3,25989,3042
IVD,3712,4920
ROBO2,6092,6973
PCBP1,5093,1748
NDUFAF1,51103,1709
POLR3K,51728,796
BAIAP2L2,80115,2144
UBE2H,7328,2728
OMD,4958,2541
HSD17B4,3295,3119
UCP3,7352,3481
METTL13,51603,5295
SNORD21,6083,95
SEMA4B,10509,4553
OXSR1,9943,4922
CHIC2,26511,1123
XPNPEP3,63929,5171
MTSS1L,92154,4976
PCNXL2,80003,11025
CTDP1,9150,3750
C6orf105,84830,2673
DNAJB5,25822,2900
MAPK4,5596,4735
SPOP,8405,3713
FBXO39,162517,2847
INTS8,55656,4210
CHD4,1108,6580
GK5,256356,11423
EIF2B4,8890,4190
PON2,5445,1723
DNAJC24,120526,5388
SPOCK2,9806,6537
ZBTB43,23099,5970
KCNK1,3775,2883
C1orf129,80133,3697
ABCA8,10351,6848
MPRIP,23164,7157
TNFRSF1A,7132,2969
MOS,4342,1040
NCRNA00181,503538,2792
SOX14,8403,818
PAIP1,10605,2873
COMMD10,51397,1424
KIF18A,81930,3752
RHAG,6005,1925
OR13G1,441933,924
CRYGB,1419,625
CDRT4,284040,3253
CST6,1474,2010
PCYT1B,9468,5841
SRPK3,26576,4629
ATP6V0E2,155066,2958
RAD23B,5887,4543
EI24,9538,2447
PLCZ1,89869,2575
BASP1,10409,1789
CCDC158,339965,4151
SNAR-C4,100170219,120
SSX4,6759,1217
PVR,5817,6094
RIT1,6016,3425
GNAQ,2776,5830
LHCGR,3973,3085
TP53,7157,3890
KCTD7,154881,4845
LOC389458,389458,1143
TTC22,55001,3072
VSTM2B,342865,1243
TMEM86A,144110,3582
MGC27382,149047,2477
NOL11,25926,2454
PES1,23481,2838
VAMP4,8674,4099
HRNR,388697,9623
IDO2,169355,4548
G6PC,2538,3096
OGFR,11054,4711
C18orf34,374864,3761
OR5H14,403273,933
CXCR1,3577,2484
FLJ26850,400710,1433
SHARPIN,81858,1814
OR5B2,390190,928
GTF2IRD2B,389524,4962
RASGRP1,10125,5024
NXNL2,158046,1628
GPC3,2719,2713
CD320,51293,1899
KIAA0649,9858,4932
DYRK3,8444,3767
C13orf31,144811,4549
GLA,2717,1920
MARCH11,441061,1564
GAPVD1,26130,9456
PDS5B,23047,12597
COPS7A,50813,2329
ICT1,3396,878
PIP5K1P1,206426,4242
FAM19A5,25817,2865
CXCR2,3579,2944
GPRC5C,55890,4511
ADAR,103,6749
HIST1H2AK,8330,459
MPEG1,219972,4506
GRK4,2868,3921
PFDN4,5203,1345
LRRC16A,55604,7534
NDUFA10,4705,4978
ZNF560,147741,2802
AADACL3,126767,4049
HDX,139324,2979
PI16,221476,2611
NCAM1,4684,9886
TTTY21,252953,305
KDR,3791,6102
SLC6A2,6530,3795
ZG16B,124220,827
LHPP,64077,1928
CUX1,1523,7358
TMC6,11322,4402
TECPR2,9895,8987
SLC7A1,6541,7342
GK2,2712,1865
MRPL37,51253,2469
RTEL1,51750,6546
SESN3,143686,2656
C11orf75,56935,988
FASTKD2,22868,9605
KIAA1586,57691,2894
DDTL,100037417,2545
TRDN,10345,8788
AP2A2,161,6603
DSG3,1830,6491
PTGER3,5733,10695
THUMPD2,80745,2538
UBR5,51366,9886
DDN,23109,3744
C3orf66,677779,2523
CTDSP2,10106,5200
GFRA1,2674,9593
ARHGAP18,93663,3498
CAMKK1,84254,4460
RAPGEF5,9771,7244
CHD1L,9557,3050
ACSS3,79611,3226
SNORA27,619499,126
ZNF682,91120,3584
GNAT2,2780,1364
YTHDC2,64848,6510
PTPRF,5792,9570
C2orf18,54978,3912
NRSN2,80023,2827
CSF1R,1436,4373
VPS37A,137492,4584
BRI3BP,140707,1272
ASGR2,433,1664
LOC283050,283050,6645
GNA12,2768,4843
BUD13,84811,2487
IL12RB1,3594,2978
WDR24,84219,3165
LAMC3,10319,6098
TMCO6,55374,2758
LOC440173,440173,2015
ELOVL2,54898,4071
NKTR,4820,14303
LASS2,29956,2504
CHKB-CPT1B,386593,4835
FAM35B,414241,3381
TRAF3IP1,26146,4174
C19orf12,83636,4831
DOC2A,8448,2317
PLCB2,5330,5693
SELK,58515,814
RAB39,54734,1780
CCR9,10803,2630
PPP1R13B,23368,5687
CST7,8530,928
S100A10,6281,1054
GUCY1B3,2983,3781
LCNL1,401562,1836
SLC25A2,83884,1416
ELOVL4,6785,3053
PAF1,54623,2199
RAPGEF6,51735,8490
JAM2,58494,1899
TMED8,283578,3596
DKFZp779M0652,374387,648
C10orf28,27291,3564
ZCCHC11,23318,8564
PSD3,23362,12242
FER,2241,3851
FRG2C,100288801,2062
DBT,1629,11001
C14orf129,51527,2105
PHLDA3,23612,1515
RAB13,5872,2209
AQP2,359,4177
SLC36A2,153201,4125
ACLY,47,4355
BIRC5,332,3090
LOC90586,90586,2202
MYO1D,4642,5860
YY1,7528,2592
APH1A,51107,2189
OGG1,4968,2838
STARD6,147323,662
MOCS2,4338,1573
SCGN,10590,1477
ALKBH7,84266,1110
AGR3,155465,749
FANCL,55120,1730
TMIE,259236,1861
LRRC49,54839,3899
FRMD4A,55691,11462
FBXO10,26267,4754
LOC286359,286359,2564
QARS,5859,2549
KLHDC3,116138,2025
THEM5,284486,1098
SULT1C4,27233,2581
ZNF438,220929,3832
ABCA4,24,8591
PILRA,29992,1625
C12orf4,57102,3809
SNX14,57231,5185
TMEM57,55219,4016
CDK2AP2,10263,1701
SF3A2,8175,1649
TMEM84,283673,2880
MRPL9,65005,2311
ZKSCAN4,387032,2341
CD248,57124,2558
PSMA1,5682,2996
SELV,348303,1701
SRRM5,100170229,2729
CYP11B2,1585,2936
EGFR,1956,7996
GTF2A1,2957,2219
MAP1LC3B,81631,2376
NUFIP1,26747,3487
LCE2A,353139,590
GNLY,10578,987
KGFLP1,387628,3611
AGPAT5,55326,5517
HULC,728655,482
TEKT4,150483,2158
FAM119B,25895,2839
FBXW10,10517,3528
SCARA5,286133,4034
USP12,219333,2348
ARHGEF37,389337,4865
PIK3R3,8503,6330
SPDYE6,729597,3235
EYA1,2138,4876
C6orf114,85411,1589
DEFB135,613209,234
MRPL36,64979,613
RANBP10,57610,7272
CCDC89,220388,2428
FAAH,2166,2095
SLC25A24,29957,3720
HAUS7,55559,3124
RIPK2,8767,2584
CEP57,9702,4389
SLC27A1,376497,7635
SNORD115-4,100033441,82
PITX2,5308,5044
C14orf126,112487,2679
ZNF304,57343,4636
CD300A,11314,1887
C1orf157,284573,1890
TAS2R16,50833,996
APOL3,80833,4098
ARGFXP2,503640,1202
ZNF77,58492,2039
C1orf113,79729,3876
OR5K1,26339,951
TRPV1,7442,5053
DNAJC17,55192,1304
COMT,1312,4369
ZMYND15,84225,2435
C14orf104,55172,2961
LCN9,392399,524
DKK2,27123,4132
SSRP1,6749,2826
KDM6A,7403,5924
FLJ36777,730971,2140
COX5B,1329,504
GLTP,51228,2355
MDGA1,266727,10444
MAGEB4,4115,2138
SLC38A3,10991,2609
LOC440563,440563,1007
FLJ40434,163742,924
CDS1,1040,4537
CLTC,1213,8699
SLC22A5,6584,3348
RSPRY1,89970,2922
OAS3,4940,7730
IFT74,80173,2762
PACRGL,133015,3231
EFHC2,80258,3251
RSC1A1,6248,1853
RPUSD4,84881,2626
PARK7,11315,3886
VPS24,51652,3546
EIF4A1,1973,3066
IGLL1,3543,898
WLS,79971,3292
ARHGAP19,84986,6007
EXOC6,54536,6985
BEYLA,497634,2696
RABL3,285282,3881
DNAJC5G,285126,2024
HIVEP3,59269,10464
AKR1B1,231,1917
KHDRBS2,202559,2300
PSG1,5669,4685
FSTL5,56884,4828
FARSA,2193,1853
KRT14,3861,1634
TECTA,7007,6466
PRKDC,5591,13505
CNKSR3,154043,3227
LOC440944,440944,6089
GNG8,94235,212
PPP2R4,5524,4577
HLA-F,3134,4293
SLA2,84174,2493
TM4SF20,79853,2294
TMEM206,55248,2142
SNORD86,692201,86
CCDC140,151278,1699
PDPN,10630,3211
CLSTN3,9746,5718
PIP4K2A,5305,3874
NLRC4,58484,3491
CALM2,805,1302
ADRB3,155,2644
LOC84931,84931,2015
TARM1,441864,897
EAPP,55837,1348
RASGEF1C,255426,2767
GPR141,353345,918
NCOA6,23054,9469
DKFZP434K028,26070,935
IGFBP4,3487,2235
ZNF717,100131827,5129
F2R,2149,3809
SIKE1,80143,5501
CIB4,130106,744
RRM1,6240,3952
DCDC2B,149069,1349
FAM120A,23196,8470
DPYSL3,1809,5434
IER5L,389792,2710
CENPW,387103,3366
MED8,112950,1867
UBE2NL,389898,1183
CITED2,10370,1929
C11orf54,28970,4019
MBD1,4152,4995
FAM21C,253725,5290
NOMO3,408050,4315
LRRC24,441381,2526
HIF1A,3091,4062
C10orf96,374355,1698
RAC1,5879,2397
APOL4,80832,3946
ELTD1,64123,3617
C2orf40,84417,774
SPOCK3,50859,4101
PRB1,5542,1170
EED,8726,2873
EYA2,2139,3348
ESPL1,9700,6731
NKX3-1,4824,3280
SNORA61,677838,130
LY6K,54742,1955
ZNF792,126375,3888
FAM75C1,441452,4693
PDIA2,64714,2847
EIF4E3,317649,6726
LIN7B,64130,754
TAS2R10,50839,924
NOC3L,64318,4187
PLEKHG4,25894,6969
VSIG10,54621,6565
CLEC12A,160364,1865
SPAG7,9552,1930
EWSR1,2130,5266
PSMD5,5711,3384
MMP23A,8511,982
?,8225,2318
